occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
8caa2f50-1f7a-485b-8308-8969d7aad2e0,NY,1987,4,22,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 136",40.8631,-73.8741
0369f0e8-253b-43e2-afb7-d322f1c447fd,NY,2006,5,10,New York,Bronx Co.,The New York Botanical Garden,40.8647,-73.8742
8e7d7649-17d5-45a4-96a0-a8e72584b396,NY,2011,8,28,New York,Bronx Co.,"on upstream side of Southern Blvd. bridge, across Southern Blvd. from the New York Botanical Garden",40.8669,-73.8744
bc09e45f-abdc-4b48-8ec4-890e55d4e82f,NY,2008,9,22,New York,Bronx Co.,"The New York Botanical Garden, floodplain of the Bronx River at Magnolia Way bridge over the Bronx River",40.8661,-73.8748
a03d0e69-df82-4b3e-89cb-cbc985457bd9,NY,1989,10,24,New York,Bronx Co.,"in the New York Botanical Garden, near the Rock Garden",40.8568,-73.875
73d60080-86fe-4d08-bede-f01bc9b5f886,NY,1978,5,21,New York,Bronx Co.,"N of The New York Botanical Garden, along Bronx River",40.8568,-73.875
4bdfdc77-5edb-40e7-b7d4-ba8d9c38a943,NY,1939,6,16,New York,Bronx Co.,Bronx Park. The New York Botanical Garden. In native woods,40.8568,-73.875
5f1b6843-aa3c-497b-94ac-e08ec421cae7,NY,1973,11,13,New York,Bronx Co.,at The New York Botanical Garden,40.8568,-73.875
b7fce69b-41fa-4b4a-9efd-23179ee2a4b6,NY,2006,4,26,New York,Bronx Co.,The New York Botanical Garden.,40.8619,-73.875
e8e976de-818d-488e-8582-1e11b404cbb6,NY,1986,5,19,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 123",40.8649,-73.875
e0c0ad83-bc59-49b2-b4a1-0692a78e0922,NY,2009,8,23,New York,Bronx Co.,Bronx. The New York Botanical Garden. Native deciduous forest near base of slope along E side of Bronx River downstream from the bridge near Kazimiroff Drive,40.8656,-73.875
e0c0ad83-bc59-49b2-b4a1-0692a78e0922,NY,2009,8,23,New York,Bronx Co.,Bronx. The New York Botanical Garden. Native deciduous forest near base of slope along E side of Bronx River downstream from the bridge near Kazimiroff Drive,40.8656,-73.875
e8e976de-818d-488e-8582-1e11b404cbb6,NY,1986,5,19,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 123",40.8649,-73.8753
66b83bd9-7ebe-4c57-b24f-1e6f1bf3d4a4,NY,1986,5,19,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 123",40.8649,-73.8753
c78ff1f4-d9b6-4f46-b4ee-863d708f7834,NY,2006,4,20,New York,Bronx Co.,The New York Botanical Garden,40.8661,-73.8753
1f79912d-a050-4f90-a6b8-afbe33b952d5,NY,2006,5,3,New York,Bronx Co.,Bronx. The New York Botanical Garden,40.8664,-73.8753
782792ac-34b6-4873-99f8-c72733098516,NY,1977,5,18,New York,Bronx Co.,The New York Botanical Garden. Hemlock Forest overlooking Bronx River,40.8568,-73.8754
