occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,Origin,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Notes,Herbivory Avg,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Leaf 5,Leaf 6,Leaf 7,Leaf 8,Leaf 9,Leaf 10
0f6132f0-3e4e-4bdb-90df-921c136b149c,NY,PreservedSpecimen,1482748,J. von Schrenk,s.n.,,,,North America,United States of America,New York,Queens Co.,Long Island,40.7494,-73.9023,"Georeferencing Quick Reference Guide, Version 2012",1251.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719950,http://sweetgum.nybg.org/images3/526/373/01482748.jpg,,8.333333333,12,8,17,5,7,1,,,,
e0c0ad83-bc59-49b2-b4a1-0692a78e0922,NY,PreservedSpecimen,1483025,M. H. Nee,56463,2009,8,23,North America,United States of America,New York,Bronx Co.,Bronx. The New York Botanical Garden. Native deciduous forest near base of slope along E side of Bronx River downstream from the bridge near Kazimiroff Drive,40.8656,-73.875,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,M. H. Nee,2009,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721051,http://sweetgum.nybg.org/images3/547/376/01483025.jpg,,1.6,0,2,4,0,1,5,1,0,1,2
a03d0e69-df82-4b3e-89cb-cbc985457bd9,NY,PreservedSpecimen,1482722,M. H. Nee,37824,1989,10,24,North America,United States of America,New York,Bronx Co.,"in the New York Botanical Garden, near the Rock Garden",40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,M. H. Nee,1989,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719894,http://sweetgum.nybg.org/images3/526/347/01482722.jpg,,8.222222222,6,5,6,7,3,4,0,0,43,
6cade477-a4d6-42d7-bd01-b6feddd9c091,NY,PreservedSpecimen,1482761,G. V. Nash,585,1896,10,7,North America,United States of America,New York,Bronx Co.,Bronx Park.,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719965,,,8.7,4,1,9,1,0,7,4,2,56,3
b27538c2-da8e-4b4f-8217-0790d0bd24e3,NY,PreservedSpecimen,1482724,G. V. Nash,69,1896,5,11,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,P. M. Thomson,1978,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719898,,,10.4,11,2,20,3,16,,,,,
1407cc64-8ce9-44e1-865c-fb74dcd3067d,NY,PreservedSpecimen,1482744,G. V. Nash,69,1896,5,5,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,P. M. Thomson,1978,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719941,,,7,0,0,1,13,0,6,9,41,0,0
52ba8e1c-55b2-4d10-98c9-4dcbc24073c2,NY,PreservedSpecimen,1087277,D. E. Atha,6802,2008,9,23,North America,United States of America,New York,Bronx Co.,"The New York Botanical Garden, ca 320 m (by air) west of the Bronx River and ca 350-365 m (by air) north of Fordham Road/Pelham Parkway/US 1",40.8601,-73.88,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,D. E. Atha,2008,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199547,,,1.2,0,1,1,1,8,1,0,0,0,0
a0e832ea-b097-4084-9db4-4ee2f402bcdc,NY,PreservedSpecimen,1088228,D. E. Atha,7028,2009,4,30,North America,United States of America,New York,Bronx Co.,"Grounds of The New York Botanical Garden, forest, W of the Bronx River and S of northern perimeter road",40.8655,-73.8803,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,D. E. Atha,2009,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238666,http://sweetgum.nybg.org/images3/524/037/01088228.jpg,,1,0,0,0,0,6,0,0,3,0,1
38de0406-8efc-48dd-9422-0f0681bbfc0d,NY,PreservedSpecimen,1482734,P. Wilson,s.n.,1900,9,25,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba,Native,P. M. Thomson,1978,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1719919,http://sweetgum.nybg.org/images3/526/359/01482734.jpg,,2.666666667,0,3,7,0,2,4,,,,
e2fdbdc9-6a6e-4c2d-8ed8-bfb6df2ded0e,NY,PreservedSpecimen,1483533,H. N. Moldenke,8663,1935,7,23,North America,United States of America,New York,New York Co.,New York City,,,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721985,,,0,0,0,0,0,0,0,0,0,0,0
52e2e26e-5846-4834-be25-cf7f5bbffa57,NY,PreservedSpecimen,1483536,H. N. Moldenke,8663,1935,7,23,North America,United States of America,New York,New York Co.,New York City,,,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721988,,,0,0,0,0,0,0,0,0,0,0,0
6da47b84-e220-4e84-aeec-95abc5290d3d,NY,PreservedSpecimen,2332779,D. E. Atha,14179,2013,10,15,North America,United States of America,New York,New York Co.,"Central Park, Ramble, at NOAA weather station, between 78th St and 79th St and between 6th and 7th Avenues",40.779,-73.9692,GPS,50,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,D. E. Atha,2013,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2400883,,,5.111111111,3,6,2,7,15,4,7,1,1,
7d271829-8f9a-4156-83f7-e39994623144,NY,PreservedSpecimen,2332713,D. E. Atha,14213,2013,11,14,North America,United States of America,New York,New York Co.,"Central Park, Shakespeare and Delacorte, west of Belvedere Castle and E of Shakespeare Garden, slope on north side of 79th St transverse",40.7795,-73.9695,GPS,50,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,D. E. Atha,2013,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2405853,,,8.9,6,4,5,4,12,14,7,6,9,22
517fe97a-356a-42e4-94ec-0db966784567,NY,PreservedSpecimen,2688621,D. E. Atha,15621,2016,6,22,North America,United States of America,New York,New York Co.,"Central Park. Sheep Meadow, northern edge. Between 70th and 71st Streets and between 6th and 7th Avenues",40.7742,-73.9739,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,D. E. Atha,2016,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978888,,,6.555555556,0,38,0,13,3,0,4,0,1,0
0062819b-3acd-4fc0-8847-a2b3b1159a74,NY,PreservedSpecimen,2696581,D. E. Atha,15781,2016,9,7,North America,United States of America,New York,New York Co.,"Central Park. Reservoir, southeast corner, along Bridle Path. Between 86th and 87th Streets and between 5th and 6th Avenues",40.7819,-73.9608,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,D. E. Atha,2016,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995576,,,2.2,0,4,0,0,0,6,2,7,3,0
ee7d4fb6-f133-47af-b034-e34174e28546,NY,PreservedSpecimen,1483527,M. H. Nee,43872,1993,9,10,North America,United States of America,New York,Bronx Co.,on the grounds of the New York Botanical Garden,40.8623,-73.877,GEOLocate Web Application,751,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721978,http://sweetgum.nybg.org/images3/547/878/01483527.jpg,,1.1,0,0,0,0,0,3,2,2,4,0
a0754b08-fbd1-4d8a-a13b-0ee4e98a3dc7,NY,PreservedSpecimen,1483528,G. V. Nash,2568,,,,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arboretum",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721980,,,2.222222222,5,4,8,1,1,1,0,0,0,
4dd48b96-4284-4ddf-b215-6b7bd7d4b7e2,NY,PreservedSpecimen,1483539,G. V. Nash,s.n.,1903,9,,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, Arb.",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721991,,,2,0,4,1,1,3,6,3,1,0,1
7e8d834d-1265-4be4-9f82-c8933e0c55e3,NY,PreservedSpecimen,1483540,W. N. Clute,s.n.,1898,10,4,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, West Nursery",,,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,cerris,,Quercus cerris,Non-native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1721992,http://sweetgum.nybg.org/images3/547/891/01483540.jpg,,1.375,0,3,0,7,1,0,0,0,,
