occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Origin,Gall Presence (Y/N),Checked By,Notes,Total Galls,Gall Species 1,Number 1,Gall Species 2,Number 2,Gall Species 3,Number 3
90541f37-eb17-4dab-b8b9-dbf2ad38165c,NY,PreservedSpecimen,1463925,G. V. Nash,85,1896,5,11,North America,United States of America,New York,Bronx Co.,Bronx Park,40.8565,-73.8771,"Georeferencing Quick Reference Guide, Version 2012",1771.57,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,velutina,,Quercus velutina Lam.,D. E. Atha,2014,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693201,https://sweetgum.nybg.org/images3/615/710/01463925.jpg,Native,Y,LE,,1,Dryocosmus quercusnotha,1,,,,
9118212b-31a3-4914-8be0-c9fbaaafa140,NY,PreservedSpecimen,2556853,M. H. Nee,56409,2009,6,22,North America,United States of America,New York,Bronx Co.,"along Mosholu Parkway South and park, near Marion Ave.",40.8703,-73.8817,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799293,http://sweetgum.nybg.org/images3/1978/014/02556853.jpg,Native,Y,LE,on 2 leaves (many galls),2,Eriophyes tiliae,2,,,,
89113934-4692-4324-9dd3-7a769c3eef17,NY,PreservedSpecimen,2377788,R. I. Vargas,37,1998,6,2,North America,United States of America,New York,Bronx Co.,On eastside of Moshulu Park on Moshulu Parkway,40.8706,-73.8811,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana L.,L. Raz; R. Vargas,1998,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599011,http://sweetgum.nybg.org/images3/4249/632/02377788.jpg,Native,Y,LE,on 3 leaves (many galls),3,Eriophyes tiliae,3,,,,
67134cd0-d6b2-45e4-9f2f-6761ed85892f,NY,PreservedSpecimen,2377787,M. H. Nee,31285,1985,7,31,North America,United States of America,New York,Bronx Co.,On grounds of New York Botanical Garden,40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana L.,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2627568,http://sweetgum.nybg.org/images3/4250/269/02377787.jpg,Native,Y,LE,on 2 leaves (many galls),2,Eriophyes tiliae,2,,,,
108bd0ac-65c0-4aca-9be4-217a89f4d8ea,NY,PreservedSpecimen,2556849,G. V. Nash,2680,,,,North America,United States of America,New York,Bronx Co.,"Arboretum, New York Botanical Garden",,,"Georeferencing Quick Reference Guide, Version 2012",,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,americana,,Tilia americana L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799289,https://sweetgum.nybg.org/images3/1978/010/02556849.jpg,Native,N,LE,,0,,,,,,
def6a38c-04f7-4036-b1f9-a00641c5e170,NY,PreservedSpecimen,2557184,M. H. Nee,56441,2009,8,4,North America,United States of America,New York,Bronx Co.,campus of Lehman College,40.8739,-73.8922,,,Plantae,Magnoliophyta,,Malvales,Malvaceae,Tilia,cordata,,Tilia cordata Mill.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2799645,http://sweetgum.nybg.org/images3/1978/333/02557184.jpg,Non-native,Y,LE,On 3 leaves (many galls),3,Eriophyes tiliae,3,,,,
6556198b-3c8e-401e-b3ee-2efaf10681e2,NY,PreservedSpecimen,2236141,D. E. Atha,14141,2013,10,3,North America,United States of America,New York,New York Co.,"Central Park, Hallett Nature Sanctuary, between 61st and 62nd Sts and between 5th and 6th Avenues",40.7662,-73.9748,,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,D. E. Atha,2013,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2391952,http://sweetgum.nybg.org/images3/1307/339/02236141.jpg,Native,N,LE,,0,,,,,,
5ae4cdc4-d0d3-45ab-9b30-172bb5b15490,NY,PreservedSpecimen,2488289,T. J. Delendick,76.483,1976,5,19,North America,United States of America,New York,Bronx Co.,"Van Cortlandt Park, east of N.Y.S. Thruway, near Woodlawn Cemetary",40.8982,-73.8674,GEOLocate Web Application,3036,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707558,http://sweetgum.nybg.org/images3/1763/118/02488289.jpg,Native,N,LE,,0,,,,,,
20e7564e-d3f2-4076-9dd1-6fbaccfcd8c5,NY,PreservedSpecimen,2488292,W. C. Ferguson,1678,1922,7,21,North America,United States of America,New York,Queens Co.,Long Island,40.7494,-73.9023,"Georeferencing Quick Reference Guide, Version 2012",1251.57,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707561,http://sweetgum.nybg.org/images3/1763/121/02488292.jpg,Native,N,LE,,0,,,,,,
c3084897-1dd2-4652-b3de-42a8deb2f3fe,NY,PreservedSpecimen,2488340,W. C. Ferguson,1834,1922,9,14,North America,United States of America,New York,Queens Co.,Long Island,40.7494,-73.9023,"Georeferencing Quick Reference Guide, Version 2012",1251.57,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707716,http://sweetgum.nybg.org/images3/1763/150/02488340.jpg,Native,N,LE,,0,,,,,,
