Accession_No,Mapping_Order,Full_name,Genus,Species,Origin,Leaf_no,Latitude,Longitude,Height_ft,Sun_Exposure_percent,Distance_from_Road_ft,Leaf_Accessibility,Gall_Presence,Leaf_Herbivory
S15-209,11,Quercus robur,Quercus,robur,Non-native,4,40.646507,-73.986165,32,100,50,high,N,3
S15-209,11,Quercus robur,Quercus,robur,Non-native,5,40.646507,-73.986165,32,100,50,high,N,0
S15-209,11,Quercus robur,Quercus,robur,Non-native,6,40.646507,-73.986165,32,100,50,high,N,0
S15-209,11,Quercus robur,Quercus,robur,Non-native,7,40.646507,-73.986165,32,100,50,high,N,7
S15-209,11,Quercus robur,Quercus,robur,Non-native,8,40.646507,-73.986165,32,100,50,high,N,3
S15-209,11,Quercus robur,Quercus,robur,Non-native,9,40.646507,-73.986165,32,100,50,high,N,1
S15-209,11,Quercus robur,Quercus,robur,Non-native,10,40.646507,-73.986165,32,100,50,high,N,1
S08-139,12,Quercus alba,Quercus,alba,Native,1,40.650366,-73.984114,15,100,50,high,Y,3
S08-139,12,Quercus alba,Quercus,alba,Native,2,40.650366,-73.984114,15,100,50,high,Y,4
S08-139,12,Quercus alba,Quercus,alba,Native,3,40.650366,-73.984114,15,100,50,high,Y,3
S08-139,12,Quercus alba,Quercus,alba,Native,4,40.650366,-73.984114,15,100,50,high,Y,3
S08-139,12,Quercus alba,Quercus,alba,Native,5,40.650366,-73.984114,15,100,50,high,Y,5
S08-139,12,Quercus alba,Quercus,alba,Native,6,40.650366,-73.984114,15,100,50,high,Y,0
S08-139,12,Quercus alba,Quercus,alba,Native,7,40.650366,-73.984114,15,100,50,high,Y,4
S08-139,12,Quercus alba,Quercus,alba,Native,8,40.650366,-73.984114,15,100,50,high,Y,0
S08-139,12,Quercus alba,Quercus,alba,Native,9,40.650366,-73.984114,15,100,50,high,Y,1
S08-139,12,Quercus alba,Quercus,alba,Native,10,40.650366,-73.984114,15,100,50,high,Y,4
S08-159,13,Quercus alba,Quercus,alba,Native,1,40.65039,-73.985293,19,100,50,high,Y,0
S08-159,13,Quercus alba,Quercus,alba,Native,2,40.65039,-73.985293,19,100,50,high,Y,6
S08-159,13,Quercus alba,Quercus,alba,Native,3,40.65039,-73.985293,19,100,50,high,Y,1
S08-159,13,Quercus alba,Quercus,alba,Native,4,40.65039,-73.985293,19,100,50,high,Y,4
S08-159,13,Quercus alba,Quercus,alba,Native,5,40.65039,-73.985293,19,100,50,high,Y,0
S08-159,13,Quercus alba,Quercus,alba,Native,6,40.65039,-73.985293,19,100,50,high,Y,12
S08-159,13,Quercus alba,Quercus,alba,Native,7,40.65039,-73.985293,19,100,50,high,Y,28
S08-159,13,Quercus alba,Quercus,alba,Native,8,40.65039,-73.985293,19,100,50,high,Y,15
S08-159,13,Quercus alba,Quercus,alba,Native,9,40.65039,-73.985293,19,100,50,high,Y,13
S08-159,13,Quercus alba,Quercus,alba,Native,10,40.65039,-73.985293,19,100,50,high,Y,14
E26-227,14,Quercus alba,Quercus,alba,Native,1,40.651292,-73.986582,19,100,0,high,Y,11
E26-227,14,Quercus alba,Quercus,alba,Native,2,40.651292,-73.986582,19,100,0,high,Y,13
E26-227,14,Quercus alba,Quercus,alba,Native,3,40.651292,-73.986582,19,100,0,high,Y,7
E26-227,14,Quercus alba,Quercus,alba,Native,4,40.651292,-73.986582,19,100,0,high,Y,0
E26-227,14,Quercus alba,Quercus,alba,Native,5,40.651292,-73.986582,19,100,0,high,Y,6
E26-227,14,Quercus alba,Quercus,alba,Native,6,40.651292,-73.986582,19,100,0,high,Y,17
E26-227,14,Quercus alba,Quercus,alba,Native,7,40.651292,-73.986582,19,100,0,high,Y,13
E26-227,14,Quercus alba,Quercus,alba,Native,8,40.651292,-73.986582,19,100,0,high,Y,16
E26-227,14,Quercus alba,Quercus,alba,Native,9,40.651292,-73.986582,19,100,0,high,Y,5
E26-227,14,Quercus alba,Quercus,alba,Native,10,40.651292,-73.986582,19,100,0,high,Y,20
S10-144,15,Quercus robur,Quercus,robur,Non-native,1,40.651589,-73.981692,25,75,25,medium,N,0
S10-144,15,Quercus robur,Quercus,robur,Non-native,2,40.651589,-73.981692,25,75,25,medium,N,1
S10-144,15,Quercus robur,Quercus,robur,Non-native,3,40.651589,-73.981692,25,75,25,medium,N,3
S10-144,15,Quercus robur,Quercus,robur,Non-native,4,40.651589,-73.981692,25,75,25,medium,N,1
S10-144,15,Quercus robur,Quercus,robur,Non-native,5,40.651589,-73.981692,25,75,25,medium,N,1
S10-144,15,Quercus robur,Quercus,robur,Non-native,6,40.651589,-73.981692,25,75,25,medium,N,3
S10-144,15,Quercus robur,Quercus,robur,Non-native,7,40.651589,-73.981692,25,75,25,medium,N,0
S10-144,15,Quercus robur,Quercus,robur,Non-native,8,40.651589,-73.981692,25,75,25,medium,N,0
S10-144,15,Quercus robur,Quercus,robur,Non-native,9,40.651589,-73.981692,25,75,25,medium,N,0
S10-144,15,Quercus robur,Quercus,robur,Non-native,10,40.651589,-73.981692,25,75,25,medium,N,1
E22-182,16,Quercus robur,Quercus,robur,Non-native,1,40.656315,-73.985671,37,100,50,high,N,2
E22-182,16,Quercus robur,Quercus,robur,Non-native,2,40.656315,-73.985671,37,100,50,high,N,0
E22-182,16,Quercus robur,Quercus,robur,Non-native,3,40.656315,-73.985671,37,100,50,high,N,3
E22-182,16,Quercus robur,Quercus,robur,Non-native,4,40.656315,-73.985671,37,100,50,high,N,1
E22-182,16,Quercus robur,Quercus,robur,Non-native,5,40.656315,-73.985671,37,100,50,high,N,0
E22-182,16,Quercus robur,Quercus,robur,Non-native,6,40.656315,-73.985671,37,100,50,high,N,1
E22-182,16,Quercus robur,Quercus,robur,Non-native,7,40.656315,-73.985671,37,100,50,high,N,1
E22-182,16,Quercus robur,Quercus,robur,Non-native,8,40.656315,-73.985671,37,100,50,high,N,0
